"#","Reference","Value","Qty","Supply URL","Supply name"
"48","R18","30K/1%/1_10W","1","https://www.thegioiic.com/dien-tro-30-kohm-0603-1-","Thegioiic"
"49","R19","0/1%/1_10W","1","https://www.thegioiic.com/dien-tro-0-ohm-0603-1-","Thegioiic"
"50","R20","2.49K/1%/1_10W","1","https://www.thegioiic.com/dien-tro-2-49-kohm-0603-1-","Thegioiic"
"51","R21","49.9K/1%/1_10W","1","https://www.thegioiic.com/dien-tro-49-9-kohm-0603-1-","Thegioiic"
"52","R22,R23,R24,R25,R28","10K/1%/1_10W","5","https://www.thegioiic.com/dien-tro-10-kohm-0603-1-","Thegioiic"
"53","RV1","470V","1","https://www.thegioiic.com/tu-chong-set-varistor-07d471k-470v","Thegioiic"
"54","T1","Transformer_flyback","1","",""
"55","TH1","3R","1","https://www.thegioiic.com/3d-15-dien-tro-nhiet-ntc-3-ohm-16-5-x-7mm","Thegioiic"
"56","U1","TOP270VG","1","https://www.mouser.vn/ProductDetail/Power-Integrations/TOP268VG?qs=uJpRT2lXVNU7zvBqdTc7Zg%3D%3D","Mouser"
"57","U2,U9,U10","LD1117S33CTR_SOT223","3","https://www.thegioiic.com/ld1117s33ctr-ic-on-ap-3-3v-800ma-sot-223","Thegioiic"
"58","U3","PC817X2NIPW","1","https://www.thegioiic.com/pc817x2nipw-optoisolator-transistor-output-5000vrms-1-channel-sop-4","Thegioiic"
"59","U4","TL431CLPM","1","https://www.mouser.vn/ProductDetail/Texas-Instruments/TL431CLPM?qs=odmYgEirbwzbYi2SmH09kA%3D%3D","Mouser"
"60","U5","L7809CV","1","http://www.tme.vn/Product.aspx?id=2484#page=pro_info","tme"
"61","U6,U7","ICL7662CBA","2","https://www.thegioiic.com/icl7662cba","Thegioiic"
"62","U8","LM1117IMP-5.0","1","https://www.thegioiic.com/lm1117imp-5-0-nopb-ic-on-ap-5v-800ma-sot-223","Thegioiic"
"63","U11","TPS54331DR","1","https://thegioiic.com/tps54331dr-ic-dieu-chinh-giam-ap-3a-8-soic","Thegioiic"
